moai_id,ahu,location_name,longitude,latitude,total_length_cm
571,AHU TONGARIKI,AHU TONGARIKI,-109.27677300,-27.12573800,
572,AHU TONGARIKI,AHU TONGARIKI,-109.27675100,-27.12571000,
573,AHU TONGARIKI,AHU TONGARIKI,-109.27671400,-27.12569300,
574,AHU TONGARIKI,AHU TONGARIKI,-109.27665700,-27.12558500,
575,AHU TONGARIKI,AHU TONGARIKI,-109.27781500,-27.12538200,810
576,AHU TONGARIKI,AHU TONGARIKI,-109.27637400,-27.12545300,
577,AHU TONGARIKI,AHU TONGARIKI,-109.27639700,-27.12545600,
578,AHU TONGARIKI,AHU TONGARIKI,-109.27637600,-27.12543100,
609,AHU TONGARIKI,AHU TONGARIKI,-109.27665400,-27.12560200,
655,AHU TONGARIKI,AHU TONGARIKI,-109.27763500,-27.12640700,
656,AHU TONGARIKI,AHU TONGARIKI,-109.27765100,-27.12639800,
657,AHU TONGARIKI,AHU TONGARIKI,-109.27765200,-27.12639400,
658,AHU TONGARIKI,AHU TONGARIKI,-109.27765800,-27.12638900,
685,AHU TONGARIKI,AHU TONGARIKI,-109.27763700,-27.12637200,
721,AHU TONGARIKI,AHU TONGARIKI,-109.27636700,-27.12542600,
727,AHU TONGARIKI,AHU TONGARIKI,-109.27634800,-27.12547900,
728,AHU TONGARIKI,AHU TONGARIKI,-109.27634400,-27.12545000,
729,AHU TONGARIKI,AHU TONGARIKI,-109.27634800,-27.12544000,
808,AHU TONGARIKI,AHU TONGARIKI,-109.27763700,-27.12639200,
890,AHU TONGARIKI,AHU TONGARIKI,-109.27763600,-27.12636100,
891,AHU TONGARIKI,AHU TONGARIKI,-109.27762300,-27.12638000,
367,AHU VAI URI,AHU VAI URI,-109.42742400,-27.13978500,
368,AHU VAI URI,AHU VAI URI,-109.42743200,-27.13983300,
370,AHU VAI URI,AHU VAI URI,-109.42742700,-27.13989900,
597,AHU VAI URI,AHU VAI URI,-109.42743000,-27.13986900,
912,AHU VAI URI,AHU VAI URI,-109.42741000,-27.13974400,
